Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,11462,,11462,,11462,Kimberly Christensen; Kimberly Christensen,,Anthropology,174AC,001,Credit,Non-Letter Grade,Satisfactory,Ca Historical Anth
1,11462,,11462,,11462,Kimberly Christensen; Kimberly Christensen,,Anthropology,174AC,001,No Credit,Non-Letter Grade,Not Pass,Ca Historical Anth
1,11540,,11540,,11540,Margaret Conkey,,Anthropology,N299,003,A,Letter Grade,A+,Directed Research
1,11552,,11552,,11552,Christine Hastorf,,Anthropology,N299,009,A,Letter Grade,A,Directed Research
1,11562,,11562,,11562,Donald Moore,,Anthropology,N299,014,Credit,Non-Letter Grade,Satisfactory,Directed Research
1,11578,,11578,,11578,Laurie Wilkie,,Anthropology,N299,022,Credit,Non-Letter Grade,Satisfactory,Directed Research
1,11582,,11582,,11582,Corinne Hayden,,Anthropology,N299,024,A,Letter Grade,A,Directed Research
1,11766,,11766,,11766,Mohammad Mofrad,,Applied Science & Tech,299,008,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,11772,,11772,,11772,Ashok Gadgil,,Applied Science & Tech,299,011,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,11774,,11774,,11774,Hartmut Haeffner,,Applied Science & Tech,299,012,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,11778,,11778,,11778,Peter Bickel,,Applied Science & Tech,299,014,Credit,Non-Letter Grade,Satisfactory,Individual Research
1,11902,,11902,,11902,Soufiane Soleimane Chami,,Arabic,10,001,A,Letter Grade,A,Intens Elem Arabic
2,11902,,11902,,11902,Soufiane Soleimane Chami,,Arabic,10,001,A,Letter Grade,A-,Intens Elem Arabic
1,11902,,11902,,11902,Soufiane Soleimane Chami,,Arabic,10,001,B,Letter Grade,B+,Intens Elem Arabic
1,11902,,11902,,11902,Soufiane Soleimane Chami,,Arabic,10,001,Credit,Non-Letter Grade,Satisfactory,Intens Elem Arabic
3,11902,,11902,,11902,Soufiane Soleimane Chami,,Arabic,10,001,No Credit,Non-Letter Grade,Not Pass,Intens Elem Arabic
2,11904,,11904,,11904,Anna Cruz; Anna Cruz; Carol Redmount,,Arabic,10,002,A,Letter Grade,A,Intens Elem Arabic
2,11904,,11904,,11904,Anna Cruz; Anna Cruz; Carol Redmount,,Arabic,10,002,Credit,Non-Letter Grade,Satisfactory,Intens Elem Arabic
6,11906,,11906,,11906,Carol Redmount; Linda Istanbulli; Linda Istanbulli,,Arabic,30,001,A,Letter Grade,A,Intermed Arabic
2,11906,,11906,,11906,Carol Redmount; Linda Istanbulli; Linda Istanbulli,,Arabic,30,001,A,Letter Grade,A-,Intermed Arabic
3,11906,,11906,,11906,Carol Redmount; Linda Istanbulli; Linda Istanbulli,,Arabic,30,001,B,Letter Grade,B,Intermed Arabic
1,11906,,11906,,11906,Carol Redmount; Linda Istanbulli; Linda Istanbulli,,Arabic,30,001,Credit,Non-Letter Grade,Satisfactory,Intermed Arabic
2,12001,,12001,,12001,Darell Fields,,Architecture,11A,001,B,Letter Grade,B+,Intro Vis Rep Draw
2,12001,,12001,,12001,Darell Fields,,Architecture,11A,001,B,Letter Grade,B,Intro Vis Rep Draw
1,12001,,12001,,12001,Darell Fields,,Architecture,11A,001,B,Letter Grade,B-,Intro Vis Rep Draw
1,12001,,12001,,12001,Darell Fields,,Architecture,11A,001,C,Letter Grade,C+,Intro Vis Rep Draw
3,12001,,12001,,12001,Darell Fields,,Architecture,11A,001,C,Letter Grade,C,Intro Vis Rep Draw
2,12001,,12001,,12001,Darell Fields,,Architecture,11A,001,C,Letter Grade,C-,Intro Vis Rep Draw
1,12001,,12001,,12001,Darell Fields,,Architecture,11A,001,D,Letter Grade,D,Intro Vis Rep Draw
1,12001,,12001,,12001,Darell Fields,,Architecture,11A,001,F,Letter Grade,F,Intro Vis Rep Draw
